@relation adult.data-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F6

@attribute age numeric
@attribute workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute education-num numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute income {' <=50K',' >50K'}

@data
58,' Self-emp-not-inc',321171,' HS-grad',9,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
21,' Private',255957,' Some-college',10,' Never-married',' Exec-managerial',' Not-in-family',' White',' Female',4101,0,40,' United-States',' <=50K'
43,' Private',184378,' Bachelors',13,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
19,' Private',43285,' Some-college',10,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,20,' United-States',' <=50K'
55,' Self-emp-not-inc',149168,' HS-grad',9,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,30,' United-States',' <=50K'
18,' Private',104704,' HS-grad',9,' Never-married',' Adm-clerical',' Own-child',' Black',' Male',0,0,40,' United-States',' <=50K'
43,' Private',161226,' Bachelors',13,' Married-civ-spouse',' Machine-op-inspct',' Husband',' Amer-Indian-Eskimo',' Male',0,0,40,' United-States',' <=50K'
17,' Local-gov',246308,' 11th',7,' Never-married',' Prof-specialty',' Own-child',' White',' Female',0,0,20,' Puerto-Rico',' <=50K'
26,' Private',306225,' Bachelors',13,' Never-married',' Exec-managerial',' Not-in-family',' Asian-Pac-Islander',' Female',0,0,40,' Poland',' <=50K'
21,' Private',228255,' Some-college',10,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,30,' United-States',' <=50K'
67,' ?',407618,' 9th',5,' Divorced',' ?',' Not-in-family',' White',' Female',2050,0,40,' United-States',' <=50K'
26,' Private',28856,' Bachelors',13,' Never-married',' Tech-support',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
22,' Private',157332,' HS-grad',9,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,35,' United-States',' <=50K'
22,' Private',51262,' HS-grad',9,' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
24,' Private',112706,' Assoc-voc',11,' Never-married',' Tech-support',' Own-child',' White',' Male',0,0,40,' United-States',' <=50K'
18,' ?',331511,' Some-college',10,' Never-married',' ?',' Own-child',' White',' Male',0,0,30,' United-States',' <=50K'
23,' Private',82497,' Some-college',10,' Never-married',' Sales',' Own-child',' White',' Female',0,0,28,' United-States',' <=50K'
27,' Private',218184,' Some-college',10,' Never-married',' Adm-clerical',' Not-in-family',' Black',' Female',0,0,40,' Jamaica',' <=50K'
22,' Private',459463,' 12th',8,' Married-spouse-absent',' Other-service',' Unmarried',' Black',' Female',0,0,50,' United-States',' <=50K'
19,' Private',125591,' 11th',7,' Never-married',' Other-service',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
21,' State-gov',173324,' Some-college',10,' Never-married',' Other-service',' Own-child',' Black',' Male',0,0,20,' United-States',' <=50K'
53,' Private',152883,' HS-grad',9,' Widowed',' Adm-clerical',' Not-in-family',' Black',' Female',0,0,40,' United-States',' <=50K'
37,' Private',188377,' HS-grad',9,' Never-married',' Machine-op-inspct',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
59,' Private',243226,' 10th',6,' Divorced',' Machine-op-inspct',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
74,' Private',194312,' 9th',5,' Widowed',' Craft-repair',' Not-in-family',' White',' Male',0,0,10,' ?',' <=50K'
25,' Private',180212,' HS-grad',9,' Never-married',' Adm-clerical',' Unmarried',' Black',' Female',0,0,40,' United-States',' <=50K'
37,' Private',256636,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
17,' Self-emp-inc',181608,' 10th',6,' Never-married',' Sales',' Own-child',' White',' Male',0,0,12,' United-States',' <=50K'
58,' Local-gov',34878,' Bachelors',13,' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',0,0,50,' United-States',' <=50K'
22,' Private',201268,' Bachelors',13,' Never-married',' Sales',' Own-child',' White',' Female',0,0,15,' United-States',' <=50K'
56,' Self-emp-not-inc',60166,' 1st-4th',2,' Never-married',' Exec-managerial',' Not-in-family',' Amer-Indian-Eskimo',' Male',0,0,65,' United-States',' <=50K'
36,' Private',265881,' HS-grad',9,' Divorced',' Machine-op-inspct',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
18,' Private',112974,' 11th',7,' Never-married',' Prof-specialty',' Other-relative',' White',' Male',0,0,3,' United-States',' <=50K'
48,' Private',395368,' Some-college',10,' Divorced',' Handlers-cleaners',' Other-relative',' Black',' Male',0,0,40,' United-States',' <=50K'
39,' Private',509060,' Some-college',10,' Divorced',' Other-service',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
17,' Private',98675,' 9th',5,' Never-married',' Other-service',' Unmarried',' White',' Female',0,0,20,' United-States',' <=50K'
38,' Self-emp-not-inc',58972,' HS-grad',9,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,50,' United-States',' <=50K'
25,' Private',113099,' HS-grad',9,' Separated',' Craft-repair',' Not-in-family',' Black',' Male',0,0,40,' United-States',' <=50K'
57,' Private',124852,' Some-college',10,' Never-married',' Handlers-cleaners',' Own-child',' Black',' Male',0,0,40,' United-States',' <=50K'
28,' Private',153869,' 11th',7,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
42,' Self-emp-inc',287037,' 12th',8,' Divorced',' Craft-repair',' Not-in-family',' White',' Male',0,0,10,' United-States',' <=50K'
35,' Private',257416,' Assoc-voc',11,' Never-married',' Craft-repair',' Own-child',' Black',' Male',0,0,40,' United-States',' <=50K'
34,' Private',176673,' Some-college',10,' Never-married',' Sales',' Other-relative',' Black',' Female',0,0,35,' United-States',' <=50K'
24,' Private',281356,' 1st-4th',2,' Never-married',' Farming-fishing',' Not-in-family',' Other',' Male',0,0,66,' Mexico',' <=50K'
19,' Private',164938,' Some-college',10,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,25,' United-States',' <=50K'
51,' Private',148431,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
39,' Private',174343,' 9th',5,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
22,' State-gov',255575,' Assoc-acdm',12,' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',0,0,15,' United-States',' <=50K'
25,' Local-gov',192321,' Bachelors',13,' Never-married',' Prof-specialty',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
43,' Private',150528,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
36,' Private',186035,' 11th',7,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',5178,0,40,' United-States',' >50K'
42,' Private',116632,' Doctorate',16,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,45,' United-States',' >50K'
43,' Federal-gov',192712,' Some-college',10,' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',0,0,40,' United-States',' >50K'
45,' Private',175925,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,60,' United-States',' >50K'
34,' Private',69251,' HS-grad',9,' Married-civ-spouse',' Transport-moving',' Husband',' Asian-Pac-Islander',' Male',0,0,40,' United-States',' >50K'
55,' Private',143266,' Assoc-voc',11,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,50,' Hungary',' >50K'
40,' State-gov',199381,' Masters',14,' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',15024,0,37,' United-States',' >50K'
43,' Private',137126,' Some-college',10,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
43,' Private',293176,' Bachelors',13,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
40,' Private',185145,' Doctorate',16,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,40,' United-States',' >50K'
42,' Private',190543,' Some-college',10,' Married-civ-spouse',' Tech-support',' Wife',' White',' Female',0,0,40,' United-States',' >50K'
33,' Private',138667,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
31,' Private',502752,' Bachelors',13,' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,40,' United-States',' >50K'
44,' Private',89172,' Bachelors',13,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,50,' United-States',' >50K'
43,' Private',409922,' Bachelors',13,' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,1977,50,' United-States',' >50K'
45,' Private',98092,' HS-grad',9,' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,60,' United-States',' <=50K'
37,' Self-emp-not-inc',168496,' HS-grad',9,' Divorced',' Handlers-cleaners',' Own-child',' White',' Male',0,0,10,' United-States',' <=50K'
22,' Private',169188,' HS-grad',9,' Never-married',' Exec-managerial',' Own-child',' White',' Female',0,0,20,' United-States',' <=50K'
44,' Private',167955,' HS-grad',9,' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,40,' Poland',' <=50K'
63,' Self-emp-not-inc',26904,' HS-grad',9,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',0,0,98,' United-States',' <=50K'
