@relation adult.data-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F3

@attribute age numeric
@attribute workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute education-num numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute income {' <=50K',' >50K'}

@data
23,' Local-gov',190709,' Assoc-acdm',12,' Never-married',' Protective-serv',' Not-in-family',' White',' Male',0,0,52,' United-States',' <=50K'
28,' Private',212563,' Some-college',10,' Divorced',' Machine-op-inspct',' Unmarried',' Black',' Female',0,0,25,' United-States',' <=50K'
29,' Private',191535,' HS-grad',9,' Divorced',' Craft-repair',' Not-in-family',' White',' Male',0,0,60,' United-States',' <=50K'
54,' Private',176681,' HS-grad',9,' Married-civ-spouse',' Adm-clerical',' Husband',' Black',' Male',0,0,20,' United-States',' <=50K'
36,' Private',200352,' Bachelors',13,' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,45,' United-States',' <=50K'
26,' Private',192262,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
34,' State-gov',240283,' HS-grad',9,' Divorced',' Transport-moving',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
28,' State-gov',70100,' Bachelors',13,' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,20,' United-States',' <=50K'
30,' Private',237903,' Some-college',10,' Never-married',' Handlers-cleaners',' Unmarried',' White',' Female',0,0,40,' United-States',' <=50K'
35,' Self-emp-not-inc',194404,' Assoc-acdm',12,' Never-married',' Farming-fishing',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
17,' ?',80077,' 11th',7,' Never-married',' ?',' Own-child',' White',' Female',0,0,20,' United-States',' <=50K'
45,' ?',51164,' Some-college',10,' Married-civ-spouse',' ?',' Wife',' Black',' Female',0,0,40,' United-States',' <=50K'
68,' Self-emp-not-inc',315859,' 11th',7,' Never-married',' Farming-fishing',' Unmarried',' White',' Male',0,0,20,' United-States',' <=50K'
17,' Private',368700,' 11th',7,' Never-married',' Sales',' Own-child',' White',' Male',0,0,28,' United-States',' <=50K'
19,' ?',52114,' Some-college',10,' Never-married',' ?',' Own-child',' White',' Female',0,0,10,' United-States',' <=50K'
31,' Private',162572,' HS-grad',9,' Never-married',' Other-service',' Own-child',' White',' Male',0,0,16,' United-States',' <=50K'
22,' Local-gov',34029,' Bachelors',13,' Never-married',' Prof-specialty',' Own-child',' White',' Female',0,0,20,' United-States',' <=50K'
19,' Private',194608,' Some-college',10,' Never-married',' Other-service',' Own-child',' White',' Female',0,0,20,' United-States',' <=50K'
37,' Private',203070,' Some-college',10,' Separated',' Adm-clerical',' Own-child',' White',' Male',0,0,62,' United-States',' <=50K'
52,' Private',186785,' HS-grad',9,' Never-married',' Sales',' Not-in-family',' White',' Male',0,1876,50,' United-States',' <=50K'
62,' ?',225652,' 7th-8th',4,' Married-civ-spouse',' ?',' Husband',' White',' Male',3411,0,50,' United-States',' <=50K'
43,' Self-emp-inc',196945,' HS-grad',9,' Married-civ-spouse',' Other-service',' Husband',' Asian-Pac-Islander',' Male',0,0,78,' Thailand',' <=50K'
31,' Private',209448,' 10th',6,' Married-civ-spouse',' Farming-fishing',' Husband',' White',' Male',2105,0,40,' Mexico',' <=50K'
56,' Private',117148,' 7th-8th',4,' Divorced',' Machine-op-inspct',' Not-in-family',' White',' Female',0,0,40,' United-States',' <=50K'
26,' Private',161007,' Bachelors',13,' Never-married',' Adm-clerical',' Own-child',' White',' Male',0,0,30,' United-States',' <=50K'
