@relation winequality-white-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N6-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F1

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute Quality {Good,Bad}

@data
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,Good
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,Good
6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,Good
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,Good
8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,Good
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,Good
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,Good
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,Good
7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,Good
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,Good
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,Good
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,Good
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,Good
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,Good
7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,Good
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,Good
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,Good
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,Good
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,Good
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,Good
7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,Good
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,Good
6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,Good
6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,Good
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,Good
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,Good
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,Good
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,Good
6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,Good
6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,Good
6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,Good
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,Good
7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,Good
6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,Good
5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,Good
5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,Good
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,Good
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,Good
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,Good
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,Good
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,Good
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,Good
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,Good
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,Good
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,Good
